index,Rsmiles,Psmiles,DE,DG,DH
WQZGKKKJIJFFOK_44_0_1,[C:0]1([O:7][H:12])([H:17])[C:1]([O:8][H:13])([H:18])[C:2]([O:9][H:14])([H:19])[C:3]([O:10][H:15])([H:20])[C:4]([C:5]([O:11][H:16])([H:22])[H:23])([H:21])[O:6]1,[C:0]([C:1]([C:2]([C:3]([C:4]([C:5]([O:11][H:16])([H:22])[H:23])([O:6][H:12])[H:21])([O:10][H:15])[H:20])([O:9][H:14])[H:19])([O:8][H:13])[H:18])(=[O:7])[H:17],51.55241546303738,47.62420599303896,4.853728489483745
GZCGUPFRVQAUEE_104_2_1,[C:0]([C:1]([C:3]([C:5](=[O:11])[H:23])([O:9][H:15])[H:20])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],[C:0]([C:1]([C:3]([C:5]([O:11][H:14])([H:19])[H:23])([O:9][H:15])[H:20])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])=[O:8])([O:6][H:12])[H:17],34.059333131472634,30.977633976977163,-2.5979923518164716
GZCGUPFRVQAUEE_104_4_0,[C:0]([C:1]([C:3]([C:5](=[O:11])[H:23])([O:9][H:15])[H:20])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],[C:0]([C:1]([C:3]([C:5]([O:11][H:15])([H:20])[H:23])=[O:9])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],50.126086369428855,44.82174856598052,-2.5979923518164716
GZCGUPFRVQAUEE_104_4_1,[C:0]([C:1]([C:3]([C:5](=[O:11])[H:23])([O:9][H:15])[H:20])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],[C:0]([C:1]([C:3]([C:5]([O:11][H:15])([H:20])[H:23])=[O:9])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],41.495948215959295,38.26050923399528,-2.5979923518164716
GZCGUPFRVQAUEE_117_0_0,[C:0]([C:1]([C:3]([C:5](=[O:11])[H:23])([O:9][H:15])[H:20])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],[C:0](/[C:1](=[C:3](/[O:9][H:15])[H:20])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17].[C:5]([O:7][H:13])(=[O:11])[H:23],65.72848257748737,61.0554193310147,10.48422562141491
GZCGUPFRVQAUEE_117_0_1,[C:0]([C:1]([C:3]([C:5](=[O:11])[H:23])([O:9][H:15])[H:20])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],[C:0](/[C:1](=[C:3](/[O:9][H:15])[H:20])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17].[C:5]([O:7][H:13])(=[O:11])[H:23],65.44233824549643,62.34244131547556,10.48422562141491
GZCGUPFRVQAUEE_117_0_3,[C:0]([C:1]([C:3]([C:5](=[O:11])[H:23])([O:9][H:15])[H:20])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],[C:0](/[C:1](=[C:3](/[O:9][H:15])[H:20])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17].[C:5]([O:7][H:13])(=[O:11])[H:23],67.95300375493548,63.90368495145748,10.48422562141491
GZCGUPFRVQAUEE_119_0_0,[C:0]([C:1]([C:3]([C:5](=[O:11])[H:23])([O:9][H:15])[H:20])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],[C:0](/[C:1](=[C:3](/[C:5](=[O:11])[H:23])[O:9][H:15])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17].[O:7]([H:13])[H:20],63.85850426750021,58.18330834948944,6.799235181644327
GZCGUPFRVQAUEE_119_0_2,[C:0]([C:1]([C:3]([C:5](=[O:11])[H:23])([O:9][H:15])[H:20])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],[C:0](/[C:1](=[C:3](/[C:5](=[O:11])[H:23])[O:9][H:15])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17].[O:7]([H:13])[H:20],57.32299282502135,52.299779277505294,6.799235181644327
GZCGUPFRVQAUEE_119_0_3,[C:0]([C:1]([C:3]([C:5](=[O:11])[H:23])([O:9][H:15])[H:20])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],[C:0](/[C:1](=[C:3](/[C:5](=[O:11])[H:23])[O:9][H:15])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17].[O:7]([H:13])[H:20],59.784712593441306,55.03509318801923,6.799235181644327
GZCGUPFRVQAUEE_13_2_0,[C:0]([C:1]([C:3]([C:5](=[O:11])[H:23])([O:9][H:15])[H:20])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],[C:0]([C:1]1([H:18])[C:3]([O:9][H:15])([H:20])[C:5]([O:11][H:13])([H:23])[O:7]1)([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],60.28044509847381,56.36541332801345,6.809273422562144
